Velocidade do compressor rpm, Vazão volumétrica m3/min,Pressão total Pa,Pressão estática Pa,Pressão dinâmica Pa,Temperatura do ar °C,Umidade do ar  %,Tensão monofasica volts,Corrente monofasica amp,FP,Potencia ativa Wattios,Potência reativa VAR
3480,"2,21","2558,80","2310,794","248,001","32,897","75,379","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2548,08","2298,332","249,75","32,847","75,321","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2520,65","2270,379","250,268","32,809","75,312","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2481,21","2231,335","249,874","32,781","75,284","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2432,99","2184,383","248,602","32,775","75,152","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2379,75","2133,502","246,25","32,776","75,013","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2328,76","2085,711","243,046","32,752","75,049","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2285,43","2045,978","239,452","32,717","75,285","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2254,89","2019,099","235,793","32,703","75,557","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2241,13","2008,802","232,332","32,721","75,697","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2243,21","2014,317","228,891","32,745","75,699","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2258,81","2033,43","225,382","32,76","75,657","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2286,90","2064,834","222,063","32,778","75,65","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2325,24","2106,187","219,055","32,813","75,68","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2371,56","2155,009","216,548","32,873","75,674","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2422,35","2207,653","214,701","32,938","75,631","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2472,75","2259,037","213,712","32,95","75,323","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2519,89","2306,128","213,762","32,885","74,683","221,8","5,01","0,57","641,8","905,8"
3480,"2,19","2561,69","2347,202","214,485","32,809","74,204","221,8","5,01","0,57","641,8","905,8"
3480,"2,19","2595,62","2379,889","215,726","32,785","74,314","221,8","5,01","0,57","641,8","905,8"
3480,"2,19","2619,22","2401,705","217,519","32,808","75,018","221,8","5,01","0,57","641,8","905,8"
3480,"2,19","2636,25","2416,565","219,685","32,802","75,882","221,8","5,01","0,57","641,8","905,8"
3480,"2,19","2650,58","2428,701","221,882","32,728","76,261","221,8","5,01","0,57","641,8","905,8"
3480,"2,19","2660,36","2436,609","223,753","32,677","76,144","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2666,60","2441,722","224,874","32,725","75,922","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2671,06","2445,829","225,227","32,817","75,743","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2673,42","2448,361","225,059","32,881","75,687","221,8","5,01","0,57","641,8","905,8"
